ID	脚本	剧情块	事件ID	指令序号	指令	简体中文
720	col	22	0000271A	22	12	巴特\n然后我和吉斯一组吗。
721	col	22	0000271A	25	12	萨博\n我奉陪不下去了……
722	col	22	0000271A	30	12	多多利亚\n大事不好了！
723	col	22	0000271A	33	12	萨博\n……你就只会说这一句吗？
724	col	22	0000271A	36	12	金属古拉\n这次又怎么了。
725	col	22	0000271A	39	12	多多利亚\n之前打倒的沙鲁怪物\n正在比格盖特星内部\n进行破坏！
726	col	22	0000271A	42	12	金属古拉\n你说什么！？
727	col	22	0000271A	56	17	完全体沙鲁\n已经摧毁了\n比格盖特星的一半。
728	col	22	0000271A	57	17	因此，绝大多数\n金属古拉都已经\n无法启动。
729	col	22	0000271A	66	12	金属古拉\n真有你的……
730	col	22	0000271A	69	12	沙鲁\n呵呵呵……多亏了你，\n我轻而易举地成为完全体。\n真该谢谢你。
731	col	22	0000271A	72	12	金属古拉\n看来还是不要吸取能量，\n直接杀了你比较好。\n来吧！
732	col	22	0000271A	76	12	基纽\n那……那家伙凭我们恐怕……
733	col	22	0000271A	79	12	萨博\n不用探测器也能看出来……\n那家伙实在太强了！
734	col	22	0000271A	82	12	基纽\n那、那个……只要我们参战，\n您就愿意和我们一起摆姿势吗！？
735	col	22	0000271A	87	12	金属古拉\n你、你说什么……！？
736	col	22	0000271A	88	12	金属古拉\n可恶……备用的金属古拉\n也无法召唤……没办法了。
737	col	22	0000271A	92	12	基纽\n好！\n特战队，出击！
738	col	23	00002B02	11	12	沙鲁\n呜嘎啊啊啊啊啊！\n我竟会败给你们这种货色——！
739	col	23	00002B02	17	12	基纽\n来吧，古拉大人！\n请加入我们的\n战斗姿势！
740	col	23	00002B02	20	12	金属古拉\n好、好吧……\n等你们想出一个\n能让我满意的姿势再说！
741	col	23	00002B02	23	12	基纽\n太令人感动了……！\n我们特战队全员，\n一生追随古拉大人！！
742	col	24	00004E20	15	12	金属古拉\n赛亚人的力量……\n看来已经全部吸干了……
743	col	24	00004E20	35	12	金属古拉\n怎、怎么可能！\n能量太多了！！\n要过热了！！
744	col	24	00004E20	38	12	悟空\n嘿嘿……\n你太小看我们了……
745	col	24	00004E20	55	17	无法吸尽悟空等人的能量，\n比格盖特星最终\n化作了宇宙尘埃。
746	col	24	00004E20	56	17	然而……
747	col	24	00004E20	62	12	金属古拉\n呵呵呵……\n说到底，被打倒的只有一具身体……
748	col	24	00004E20	63	12	金属古拉\n无论多少次我都能复活，\n想制造多少具身体都可以……
749	col	24	00004E20	64	12	金属古拉\n我永远不会死亡！\n给我等着吧！\n超级赛亚人！！
750	col	24	00004E20	73	12	\n获得特殊能力\n“复活”！
751	col	24	00004E20	74	12	\n使用金属古拉时，体力降至0后，\n若气力达到150以上，\n即可复活一次！
752	col	25	00004E21	9	12	古拉\n蠢货……\n要是老实听我的话，\n我至少还能饶你一命……
753	col	25	00004E21	12	12	沙维扎\n古拉大人。\n弗利萨大人该如何处置？
754	col	25	00004E21	15	12	古拉\n就当是最后的慈悲。\n由我亲手解决他吧……\n用古拉最强的招式。
755	col	25	00004E21	16	12	古拉\n不过，真正的问题还在后面……\n父亲应该一直在幕后操纵。\n也该到了决裂的时候……
756	col	25	00004E21	30	17	从这一天起，古拉与父亲\n库尔德王之间\n爆发了全面战争。
757	col	25	00004E21	31	17	据说那场战争惨烈至极。\n但地球人永远没有看到\n战争的结局……
758	col	25	00004E21	38	12	\n获得究极技\n“弧光爆破”！
759	col	25	00004E21	39	12	\n古拉的体力变红时，\n将气力提升至150以上，\n面向侧方按下X＋A键！
760	col	26	00004E22	29	12	基纽\n古拉大人！新姿势\n这样怎么样？
761	col	26	00004E22	32	12	金属古拉\n萨博，你有什么意见。
762	col	26	00004E22	35	12	萨博\n我应该站在一个\n更加优雅的位置……
763	col	26	00004E22	49	12	基纽\n古拉大人，这样如何？
764	col	26	00004E22	52	12	金属古拉\n这样吉斯就不够显眼了。
765	col	26	00004E22	66	12	基纽\n古拉大人，那这样呢？
766	col	26	00004E22	69	12	金属古拉\n你的位置不太好。
767	col	26	00004E22	84	17	就这样，特战队的姿势\n从此也一直\n没能确定下来……
768	crr	0	00002710	10	17	贝吉塔向地球发起猛烈进攻。\n克林修炼所得的\n“流星气功弹”也没有奏效。
769	crr	0	00002710	11	17	比克和天津饭相继倒下，\n最后只剩下\n克林和悟饭。
770	crr	0	00002710	12	17	复活后赶来的悟空\n以界王拳迎战，\n但贝吉塔依然占据上风。
771	crr	0	00002710	17	12	克林\n可恶！\n贝吉塔……那家伙强得太离谱了。\n连悟空都被逼成这样……
772	crr	0	00002710	20	12	悟空\n克、克林……
773	crr	0	00002710	21	12	悟空\n想打赢他，只能靠元气弹。\n可这招积聚气的时间\n实在太长了。
774	crr	0	00002710	22	12	悟空\n能不能想办法帮我争取一点时间？
775	crr	0	00002710	26	12	克林\n明白了！\n我和悟饭来拖住他！
776	crr	0	00002710	30	12	克林\n听好了，悟饭……\n在悟空完成元气弹之前，\n无论如何都要活下来！
777	crr	0	00002710	33	12	悟饭\n是！
778	crr	0	00002710	50	12	\n获得究极技\n“流星气功弹”！
779	crr	0	00002710	51	12	\n克林的体力变红时，\n将气力提升至150以上，\n面向侧方按下X＋A键！
780	crr	1	00002AF8	12	12	悟空\n……让你久等了！\n接招！\n元气弹——！
781	crr	1	00002AF8	17	12	\n然而，就在悟空准备释放元气弹时，\n贝吉塔的攻击命中了他，\n元气弹也随之散开。
782	crr	1	00002AF8	18	12	\n身受重伤、无法继续战斗的悟空，\n将仅存的元气弹\n托付给了克林。
783	crr	1	00002AF8	20	12	克林\n混账——！
784	crr	1	00002AF8	30	12	贝吉塔\n这是什么！？
785	crr	1	00002AF8	37	14	贝吉塔\n咕哇啊啊——！！！！
786	crr	1	00002AF8	54	17	贝吉塔被必杀的元气弹击倒，\n乘宇宙飞船逃走了……
787	crr	1	00002AF8	55	17	随后，克林带着悟饭\n前往了比克的故乡——\n那美克星。
788	crr	1	00002AF8	56	17	为了复活在这场战斗中\n牺牲的同伴们……
789	crr	2	00002711	9	17	抵达那美克星后，克林等人\n一边与贝吉塔和弗利萨一伙战斗，\n一边收集龙珠。
790	crr	2	00002711	10	17	弗利萨对克林等人与贝吉塔的行动\n感到恼火，于是将基纽特战队\n召到了那美克星。
791	crr	2	00002711	11	17	因形势所迫与贝吉塔会合的\n克林等人，遭到了\n基纽特战队的袭击。
792	crr	2	00002711	12	17	悟空及时赶到，\n却中了基纽的身体互换，\n身体被夺走了。
793	crr	2	00002711	16	12	悟空\n那家伙是基纽！\n凭现在的你们不会输！\n把他打飞！
794	crr	2	00002711	19	12	基纽\n这可是你原来的身体。\n战斗力超过18万！\n你们不可能获胜。
795	crr	2	00002711	28	12	\n获得特殊能力\n“潜在能力解放”！
796	crr	2	00002711	29	12	\n使用克林时，\n在气力达到100以上的状态下，\n按下L键！
797	crr	3	00002AF9	12	12	基纽\n我、我竟然会输！？\n这副身体应该能发挥\n超过18万的力量才对……！！！
798	crr	3	00002AF9	15	12	克林\n你根本无法\n熟练使用那具身体。\n趁现在投降怎么样？
799	crr	3	00002AF9	20	12	贝吉塔\n蠢货……\n看着卡卡罗特的外表，\n你们就下不了手吗。
800	crr	3	00002AF9	23	12	贝吉塔\n让开！
801	crr	3	00002AF9	32	12	基纽\n呜嘎！
802	crr	3	00002AF9	43	12	基纽\n嘎噗！
803	crr	3	00002AF9	44	12	基纽\n可、可恶……\n这副身体已经伤得太重了。\n贝吉塔的身体归我了！
804	crr	3	00002AF9	45	12	基纽\n互——换！
805	crr	3	00002AF9	52	12	悟空\n好机会！！\n我能回到自己的身体了！
806	crr	3	00002AF9	67	17	在克林等人的努力下，\n悟空夺回了自己的身体。
807	crr	3	00002AF9	68	17	然而，在等待负伤的悟空\n恢复期间，弗利萨的魔爪\n也在逐渐逼近。
808	crr	4	00002712	10	17	打倒基纽特战队后，克林等人\n集齐了所有龙珠，\n成功让比克复活。
809	crr	4	00002712	11	17	被抢先一步的贝吉塔怒不可遏，\n同样因愤怒而颤抖的弗利萨\n也在此时袭来。
810	crr	4	00002712	15	12	贝吉塔\n能赢！\n只要我和这两个家伙联手，\n一定能赢……！！
811	crr	4	00002712	20	12	弗利萨\n嚯嚯嚯……\n还以为你要说什么呢。
812	crr	4	00002712	23	12	弗利萨\n既然你都这么说了，\n就让你们稍微见识一下\n我真正的力量吧。
813	crr	4	00002712	39	12	弗利萨\n呵呵呵……\n请小心一点。\n这次可不会像之前那么温柔。
814	crr	4	00002712	42	12	克林\n好、好惊人的气！\n这……这是噩梦！
815	crr	4	00002712	45	12	比克\n你这宇宙垃圾……\n由我来清理！
816	crr	5	00002AFA	14	12	弗利萨\n呵呵呵……\n失礼了。\n看来我太小看你们了。
817	crr	5	00002AFA	15	12	弗利萨\n就再让你们见识更多实力吧。\n感到荣幸吧，\n我还是第一次做到这种程度……
818	crr	5	00002AFA	20	12	弗利萨\n嘎啊啊啊啊——！
819	crr	5	00002AFA	31	17	面对使出真正力量的弗利萨，\n贝吉塔败下阵来，\n克林也被打倒。
820	crr	5	00002AFA	32	17	但在战斗中，\n觉醒为超级赛亚人的悟空\n最终打倒了弗利萨。
821	crr	5	00002AFA	33	17	克林和贝吉塔通过那美克星的\n龙珠复活，\n宇宙再度恢复和平。
822	crr	5	00002AFA	34	17	然而……
823	crr	6	00002713	7	17	打倒弗利萨后没过多久，\n特兰克斯从未来赶来，\n告知众人人造人的威胁。
824	crr	6	00002713	8	17	三年后出现的人造人，\n就连贝吉塔和比克\n也只能勉强应战。
825	crr	6	00002713	9	17	新的威胁沙鲁也随之出现。\n他企图吸收人造人17号和18号，\n成为完全体。
826	crr	6	00002713	10	17	随后，克林拿着\n紧急停止控制器，\n站到了18号面前……
827	crr	6	00002713	14	12	克林\n18号还没有察觉……\n机……机会只有现在。
828	crr	6	00002713	15	12	克林\n……
829	crr	6	00002713	18	12	18号\n你是……！
830	crr	6	00002713	21	12	克林\n该破坏18号，还是\n就这样放她逃走……？\n可恶，到底该怎么办！
831	crr	7	00002AFB	18	12	\n克林最终毁掉了\n紧急停止控制器。
832	crr	7	00002AFB	29	12	18号\n！？
833	crr	7	00002AFB	32	12	克林\n快想办法逃走。\n绝对不要被沙鲁吸收。
834	crr	7	00002AFB	39	17	然而，由于贝吉塔失控，\n沙鲁还是吸收了18号，\n成为完全体。
835	crr	7	00002AFB	40	17	成为完全体的沙鲁，\n就连贝吉塔也毫无办法。\n然后……！？
836	crr	8	00002EE3	5	12	18号\n！？
837	crr	8	00002EE3	8	12	克林\n对不起……18号。\n我只能这么做！
838	crr	8	00002EE3	14	12	克林\n可恶……
839	crr	8	00002EE3	17	12	沙鲁\n什么……！18号竟然！？
840	crr	8	00002EE3	23	17	克林破坏了18号，\n阻止沙鲁成为完全体。
841	crr	8	00002EE3	24	17	此后，沙鲁销声匿迹，\n地球再度恢复和平。
842	crr	8	00002EE3	25	17	但克林的心中\n却充满了悔恨……
843	crr	9	00002714	9	17	成为完全体的沙鲁\n击败贝吉塔，将下一个目标\n锁定为特兰克斯。
844	crr	9	00002714	15	12	克林\n特兰克斯……你已经\n跨越了贝吉塔未能跨越的壁垒，\n对吧？
845	crr	9	00002714	18	12	特兰克斯\n爸爸已经越过超级赛亚人的壁垒。\n但我还进一步\n超越了那个境界……！
846	crr	9	00002714	21	12	沙鲁\n呵呵呵呵……\n没错。我感兴趣的，\n正是你真正的力量。
847	crr	9	00002714	25	12	克林\n好，我们两个一起上！\n至少我还能从旁支援！
848	crr	10	00002AFC	11	12	沙鲁\n哈——哈哈哈哈！\n真是天真……\n所谓的全力就只有这种程度吗。
849	crr	10	00002AFC	14	12	克林\n你说什么……！？\n沙鲁刚才还没有动真格吗！
850	crr	10	00002AFC	17	12	沙鲁\n只会依赖力量的战斗方式，\n是赢不了我的。\n让旁边那个小个子教教你吧！
851	crr	11	00002715	8	17	克林和悟饭乘坐\n布尔玛制造的宇宙飞船，\n前往那美克星。
852	crr	11	00002715	9	17	但宇宙无比辽阔，\n克林等人很快就\n闲得发慌。
853	crr	11	00002715	13	12	克林\n真无聊啊……\n本以为宇宙旅行\n会更有意思一点。
854	crr	11	00002715	14	12	克林\n……喂，悟饭。\n要不要做一下想象训练？
855	crr	11	00002715	17	12	悟饭\n好啊。\n离开地球后一直没修炼，\n身体都快生疏了。
856	crr	12	00002AFD	19	12	克林\n真有你的！果然很强啊。\n既继承了悟空的血统，\n又接受过比克的训练。
857	crr	12	00002AFD	22	12	悟饭\n不过，克林先生会的招式这么多，\n也让我大吃一惊！
858	crr	12	00002AFD	25	12	克林\n那就顺便\n练习一个我们两人\n能一起使用的必杀技吧！
859	crr	12	00002AFD	29	12	布尔玛\n你们在脑子里修炼是没关系，\n但这里越来越乱了，\n能不能顺手收拾一下？
860	crr	12	00002AFD	32	12	克林\n明明是布尔玛小姐\n弄乱的吧……
861	crr	12	00002AFD	49	12	\n获得团队必杀技\n“气之解放”！
862	crr	12	00002AFD	50	12	\n让克林与悟饭（普通）组成队伍，\n并在气力达到200时，\n触摸团队必杀技按钮！
863	crr	13	00002716	16	12	基纽\n呱呱……
864	crr	13	00002716	19	12	基纽\n不对不对！\n这是当青蛙时留下的习惯！
865	crr	13	00002716	25	17	基纽在那美克星的战斗中\n变成了青蛙，\n不过……
866	crr	13	00002716	26	17	他在那美克星毁灭前夺回身体，\n潜入新那美克星，暗中\n收集龙珠。
867	crr	13	00002716	27	17	随后，他复活了所有特战队员，\n为了寻找失踪的弗利萨的线索，\n降落到了地球。
868	crr	13	00002716	28	17	当时的地球，\n因人造人现身\n陷入了大混乱。
869	crr	13	00002716	34	12	悟空\n我要和悟饭去修炼。\n去一个一天能修炼一年的地方。
870	crr	13	00002716	40	17	趁悟空进入精神时光屋的机会，\n基纽特战队开始行动。\n克林等人及时赶到。
871	crr	13	00002716	47	12	天津饭\n真是惊人的气……\n听说远远弱于弗利萨，\n我们之前竟在对付这种家伙……
872	crr	13	00002716	50	12	雅木茶\n可恶！偏偏在这种时候……\n要叫悟空来吗？
873	crr	13	00002716	56	12	克林\n他待在精神时光屋时，\n好像没办法联系。\n偏偏贝吉塔也不在……
874	crr	13	00002716	59	12	克林\n嗯？那是……？
875	crr	13	00002716	66	12	特兰克斯\n我也来战斗！\n不能让大家\n陷入危险！
876	crr	14	00002AFE	13	12	基纽\n可恶，那个拿剑的家伙\n拥有惊人的力量！\n看来也是赛亚人……
877	crr	14	00002AFE	16	12	雅木茶\n认输了吧！吸取教训后，\n就再也别出现在地球！
878	crr	14	00002AFE	19	12	吉斯\n队长，这里应该战略撤退！\n有那个赛亚人在……
879	crr	14	00002AFE	22	12	基纽\n好……撤退！
880	crr	14	00002AFE	29	12	特兰克斯\n他们也许还会再来。\n我还是不进\n精神时光屋了。
881	crr	14	00002AFE	32	12	克林\n别顾虑我们，特兰克斯。\n下次他们再来，\n我们会想办法对付。
882	crr	14	00002AFE	35	12	天津饭\n你去精神时光屋，\n获得打倒人造人的力量吧。\n未来也还有战斗在等你吧？
883	crr	14	00002AFE	38	12	雅木茶\n对、对啊！\n而且地球果然应该\n由地球人亲手保护！
884	crr	14	00002AFE	41	12	特兰克斯\n各位……\n谢谢你们。
885	crr	14	00002AFE	58	12	\n新增角色\n“雅木茶＆天津饭”！\n可在角色选择中使用！
886	crr	15	00002717	10	17	克林等人追踪基纽，\n一路来到了冰原。
887	crr	15	00002717	16	12	亚奇洛贝\n呜呜呜……好冷啊。\n为什么连我也要来……
888	crr	15	00002717	19	12	雅木茶\n别抱怨了。\n连饺子都忍着呢。
889	crr	15	00002717	25	12	克林\n喂，大家！\n那是他们的宇宙飞船。\n他们可能就在附近……
890	crr	15	00002717	38	12	天津饭\n什、什么！
891	crr	15	00002717	41	12	基纽\n可恶，奇袭失败了吗！\n既然这样，就只能孤注一掷！\n拼上性命战斗！
892	crr	15	00002717	44	12	巴特\n可是队长，那个赛亚人\n好像不在……
893	crr	15	00002717	47	12	古杜\n这是个好机会！
894	crr	15	00002717	50	12	基纽\n什么，真的吗？\n好！那就另当别论！\n让他们见识基纽特战队的力量！
895	crr	15	00002717	53	12	吉斯\n明白！
896	crr	15	00002717	56	12	利库姆\n看我好好疼爱你们！
897	crr	16	00002AFF	13	12	基纽\n怎么可能！\n竟然会落后于\n区区地球人！
898	crr	16	00002AFF	16	12	克林\n就是现在！\n大家，一起上！
899	crr	16	00002AFF	35	14	克林\n最后一击！\n哈啊啊啊啊啊！！！
900	crr	16	00002AFF	42	14	基纽\n咕哇啊啊啊啊！！
901	crr	17	00002718	7	17	克林破坏了18号，\n阻止沙鲁成为完全体。
902	crr	17	00002718	8	17	获得更强力量的贝吉塔等人，\n应该能轻易打倒现在的沙鲁。\n地球得救了。
903	crr	17	00002718	9	17	然而，克林的心情依然无法平静。
904	crr	17	00002718	15	12	克林\n他们……原本也是人类啊。\n我……可恶！\n为什么什么都做不了……！
905	crr	17	00002718	21	17	克林无法接受\n自己做出的选择。
906	crr	17	00002718	22	17	为了给自己的心情做个了结，\n克林开始\n收集龙珠……
907	crr	17	00002718	25	12	克林\n我不知道会有什么结果。\n但是……18号\n一定要由我复活！
908	crr	17	00002718	27	12	\n而龙珠雷达\n最后指向的地方，\n正是天神殿。
909	crr	17	00002718	32	12	比克\n我知道你在想什么。\n把她复活后，\n你又打算怎么办。
910	crr	17	00002718	35	12	克林\n不知道……我也不知道。\n但我……做了不该做的事。\n所以……
911	crr	17	00002718	36	12	克林\n比克……拜托了！\n把龙珠交给我！
912	crr	17	00002718	39	12	比克\n就算说不行，你也不会接受吧。\n那么……凭力量来抢吧。\n放马过来！
913	crr	18	00002B00	10	12	比克\n可恶……今天的他有些不同。\n看来只能\n毫不留情地出手了？
914	crr	18	00002B00	12	12	\n经历过无数激战的克林，\n没有错过比克\n一瞬间的犹豫。
915	crr	18	00002B00	14	12	克林\n就是那里！
916	crr	18	00002B00	15	12	克林\n龟派气功！
917	crr	18	00002B00	27	12	比克\n呜！
918	crr	18	00002B00	30	12	克林\n比克……\n对不起。\n龙珠我拿走了。
919	crr	19	00002719	9	17	克林使用龙珠，\n让18号复活。
920	crr	19	00002719	10	17	但沙鲁绝不会\n对此坐视不管。
921	crr	19	00002719	16	12	沙鲁\n蠢货……\n竟然特意让18号复活。
922	crr	19	00002719	19	12	克林\n……才不是为了你。\n快逃，18号！\n别被他抓住！
923	crr	19	00002719	22	12	18号\n啊、啊！\n我一定会活下去！
924	crr	20	00002B01	11	12	沙鲁\n在那里！
925	crr	20	00002B01	14	12	克林\n可恶……不行吗！
926	crr	20	00002B01	18	12	18号\n大叔！
927	crr	21	00004E20	27	17	沙鲁宣布举办“沙鲁游戏”。\n但在悟空与悟饭手中，\n沙鲁被打倒，地球也得救了。
928	crr	21	00004E20	28	17	沙鲁在被打倒前吐出了18号，\n17号也通过龙珠\n重新复活。
929	crr	21	00004E20	33	12	克林\n神龙！\n能不能把人造人\n恢复成普通人类！
930	crr	21	00004E20	35	12	神龙\n无法实现。\n那两名人造人的力量\n远远超过我。
931	crr	21	00004E20	37	12	克林\n那么……\n至少能不能取出\n他们体内的爆炸装置？
932	crr	21	00004E20	42	12	\n神龙实现了克林的愿望，\n取出了17号和18号\n体内的炸弹……
933	crr	21	00004E20	44	12	18号\n我可没感谢你！秃子！
934	crr	21	00004E20	47	12	克林\n18号……！
935	crr	21	00004E20	50	12	18号\n……再见。
936	crr	21	00004E20	53	12	克林\n“再见”吗……
937	crr	21	00004E20	59	17	18号离开了。\n克林和18号还会再见吗？\n那就是另一个故事了……
938	crr	21	00004E20	66	12	\n新增角色\n“18号”！\n可在角色选择中使用！
939	crr	22	00004E21	8	17	克林等人没有依靠悟空他们，\n成功从基纽特战队手中\n守住了地球。
940	crr	22	00004E21	9	17	多亏如此，悟空和特兰克斯\n也得以充分完成修炼。
941	crr	22	00004E21	16	12	\n获得团队必杀技\n“地球战士们”！
942	crr	22	00004E21	17	12	\n让克林与雅木茶＆天津饭组成队伍，\n并在气力达到200时，\n触摸团队必杀技按钮！
943	crr	23	00004E22	13	12	\n千钧一发之际，\n18号救下了克林。
944	crr	23	00004E22	14	12	\n但沙鲁趁着这个破绽，\n反而将\n18号抓住。
945	crr	23	00004E22	16	12	克林\n18号！
946	crr	23	00004E22	19	12	沙鲁\n这样就能成为完全体……
947	crr	23	00004E22	30	12	沙鲁\n咕哇！？
948	crr	23	00004E22	33	12	克林\n刚才那是……龟派气功！？
949	crr	23	00004E22	39	12	18号\n就是现在！\n给他最后一击！
950	crr	23	00004E22	40	12	克林\n哦、哦！气圆斩！
951	crr	23	00004E22	41	12	18号\n再来一发，吃我这招！
952	crr	23	00004E22	58	12	沙鲁\n只差一点……\n明明只差一点！\n可……可恶啊啊啊！
953	crr	23	00004E22	75	12	\n及时赶到的悟空发出龟派气功，\n决定了战斗的胜负。\n沙鲁没能成为完全体便被打倒。
954	crr	23	00004E22	80	12	克林\n悟空……
955	crr	23	00004E22	83	12	悟空\n比克都告诉我了。\n没想到你会做出这种事，\n我真是吓了一跳。
956	crr	23	00004E22	84	12	悟空\n不过，这种地方\n说不定也很像你。
957	crr	23	00004E22	86	12	\n就这样，地球从\n沙鲁的恐怖中获救。\n至于克林和18号……
958	crr	23	00004E22	98	12	18号\n先杀了我，又把我复活……\n你是笨蛋吧！
959	crr	23	00004E22	99	12	18号\n不过……算了，这次\n姑且还是向你道声谢。
960	crr	23	00004E22	102	12	克林\n嘿、嘿嘿嘿……
961	crr	23	00004E22	119	12	\n获得团队必杀技\n“双重气圆斩”！
962	crr	23	00004E22	120	12	\n让克林与18号组成队伍，\n并在气力达到200时，\n触摸团队必杀技按钮！
963	drg	0	00002710	11	17	红缎带军团的幸存者\n格罗博士将自己改造成了人造人，\n企图夺取悟空的性命。
964	drg	0	00002710	17	12	悟空\n哈啊……哈啊……\n你们……就是人造人吗……
965	drg	0	00002710	20	12	克林\n悟空……！？\n你的样子不对劲！\n怎么了！？
966	drg	0	00002710	23	12	悟饭\n果然是心脏病！
967	drg	0	00002710	26	12	格罗博士\n虽然不知道怎么回事……\n但正合我意！
968	drg	1	00002AF8	12	12	悟空\n咕……哈啊！哈啊！\n呜……啊啊啊……！！！
969	drg	1	00002AF8	15	12	格罗博士\n呵呵呵……孙悟空正在衰弱。\n太好了。现在正好为红缎带军团\n报仇雪恨！
970	drg	1	00002AF8	22	12	贝吉塔\n打倒卡卡罗特是我的事。\n轮不到废铁人偶插手！
971	drg	2	00002711	7	17	格罗博士准备击倒\n因心脏病而虚弱的悟空时，\n贝吉塔挡在了面前。
972	drg	2	00002711	13	12	贝吉塔\n谁去把那家伙\n拖回家，\n让他把药吃了！
973	drg	2	00002711	16	12	格罗博士\n……先把这些\n烦人的苍蝇\n清理掉吧。
974	drg	3	00002AF9	10	12	格罗博士\n成功了吗……！？
975	drg	3	00002AF9	13	12	贝吉塔\n……哼。\n看来你们并没有传闻中\n那么了不起。
976	drg	3	00002AF9	33	17	贝吉塔在格罗博士眼前\n变成了超级赛亚人。\n但格罗博士并未退缩。
977	drg	3	00002AF9	40	12	格罗博士\n真是可怕的力量。\n但你们获胜的可能性\n依然为零……！
978	drg	4	00002712	7	17	格罗博士不知为何\n没有与贝吉塔正面交战，\n而是借助地形不断逃跑。
979	drg	4	00002712	8	17	他打算先吸收其他战士的能量，\n变得更强后再战斗。
980	drg	4	00002712	14	12	格罗博士\n先从仅次于贝吉塔的\n比克开始吧……
981	drg	4	00002712	20	12	比克\n呜咕！
982	drg	4	00002712	23	12	格罗博士\n你的能量归我了！
983	drg	4	00002712	40	12	比克\n（悟饭，快来……马上！\n人造人正在……）
984	drg	6	00002EE2	13	12	格罗博士\n可恶……\n只能回去……！\n回研究所……
985	drg	6	00002EE2	17	12	比克\n给我老实一点！
986	drg	6	00002EE2	20	12	格罗博士\n你们没有胜算！\n16号、17号和18号\n会来杀掉你们！
987	drg	7	000032CA	16	12	\n战斗中，格罗博士\n吸收了悟饭的力量。
988	drg	7	000032CA	22	12	格罗博士\n这……这股异常的力量是什么！\n哈哈哈……我得到了\n难以想象的强大力量！
989	drg	7	000032CA	25	12	比克\n……悟饭！
990	drg	7	000032CA	31	12	格罗博士\n呵呵呵……那个小鬼的力量，\n说不定已经超过了你。\n马上来试一试吧……
991	drg	7	000032CA	34	12	格罗博士\n哈！
992	drg	7	000032CA	43	12	比克\n咕啊啊啊啊啊啊！
993	drg	7	000032CA	49	12	格罗博士\n太棒了……太棒了！
994	drg	7	000032CA	58	12	\n获得究极技\n“能量吸收”！
995	drg	7	000032CA	59	12	\n格罗博士的体力变红时，\n将气力提升至150以上，\n靠近对手按下X＋A键！
996	drg	8	00002713	10	17	被贝吉塔等人追赶的格罗博士\n逃回研究所，启动了作为王牌的\n三名人造人。
997	drg	8	00002713	16	12	格罗博士\n你们几个！\n去打倒外面的贝吉塔等人！
998	drg	8	00002713	19	12	17号\n……少啰嗦。\n我们想什么时候动手，就什么时候动手。
999	drg	8	00002713	22	12	格罗博士\n竟……竟敢反抗我。\n你们这两个失败品！
1000	drg	8	00002713	25	12	18号\n吵死了……\n杀了你哦！
1001	drg	8	00002713	36	12	16号\n…………
1002	drg	9	00002AFB	13	12	格罗博士\n可……可恶……\n你……你们这群废铁……
1003	drg	9	00002AFB	16	12	18号\n去死吧！
1004	drg	9	00002AFB	38	17	格罗博士死了。\n从此以后，再也不会有\n新的人造人诞生。
1005	drg	9	00002AFB	39	17	然而……
1006	drg	9	00002AFB	40	17	在研究所的地下，\n格罗博士的电脑\n仍在暗中持续运作。
1007	drg	9	00002AFB	51	12	\n新的威胁\n即将出现在地面……
1008	drg	10	00002714	7	17	获得悟饭强大气息的格罗博士，\n主动向追赶自己的\n贝吉塔发起战斗。
1009	drg	10	00002714	22	12	格罗博士\n呵呵呵……我的力量\n已经轻易超过了\n身为超级赛亚人的你。
1010	drg	10	00002714	25	12	贝吉塔\n哦……有意思。\n就让我好好看看，\n你的自信究竟有几分真材实料。
1011	drg	11	00002AFC	9	12	贝吉塔\n怎……我竟然……\n身为超级赛亚人的我，\n竟败给这种老头……！
1012	drg	11	00002AFC	12	12	格罗博士\n去死吧……贝吉塔！
1013	drg	12	00002715	10	17	回到研究所后，\n格罗博士启动了18号、17号，\n以及16号。
1014	drg	12	00002715	16	12	格罗博士\n过去你们根本不听命令，\n但现在的我能彻底支配你们。\n靠力量来支配……
1015	drg	12	00002715	19	12	17号\n早上好……\n格罗博士大人。
1016	drg	12	00002715	22	12	18号\n看来您也\n把自己变成了人造人。
1017	drg	12	00002715	25	12	格罗博士\n哼……别演这种拙劣的戏。\n你们想要的是\n这个吧……
1018	drg	12	00002715	26	12	\n格罗博士亮出了\n17号和18号的停止控制器。
1019	drg	12	00002715	29	12	17号\n……死老头！
1020	drg	12	00002715	32	12	18号\n把那个交出来！
1021	drg	12	00002715	35	12	格罗博士\n呵呵呵……不过，\n我已经不需要这种东西！\n我要用力量重新教育你们！
1022	drg	13	00002AFD	10	12	格罗博士\n怎么了，只有这点本事？\n刚才的气势去哪里了？
1023	drg	13	00002AFD	13	12	17号\n这个死老头……\n什么时候变得\n这么强了……
1024	drg	13	00002AFD	16	12	18号\n虽然很不爽……\n但现在看来只能服从了。
1025	drg	13	00002AFD	30	17	就这样，人造人们\n屈服于格罗博士。
1026	drg	14	00002716	12	12	特兰克斯\n……爸爸和悟饭先生都倒下了。\n我又失去了重要的人……
1027	drg	14	00002716	18	12	特兰克斯\n绝不饶恕……他们！
1028	drg	14	00002716	25	12	格罗博士\n哼……是特兰克斯吗。\n你是主动来\n把力量送给我的？
1029	drg	14	00002716	28	12	特兰克斯\n我是来杀你们的。\n接连伤害我重要的人……不可饶恕！
