priority	code_hex	native_character	page	x0	y0	x1	y1	status	original_status	safety_tier	arm9_aligned_le_hits	arm7_aligned_le_hits	warning
191	8474	д	1	30	105	44	119	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
192	8478	з	1	45	105	59	119	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
193	848F	э	1	60	105	74	119	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
194	849F	─	1	75	105	89	119	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
195	84AA	━	1	90	105	104	119	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
196	84AE	┛	1	105	105	119	119	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
197	875B		1	135	105	149	119	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
198	88AB	悪	1	180	105	194	119	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
199	88B3	圧	1	195	105	209	119	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
200	88B5	扱	1	210	105	224	119	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
201	88CD	囲	1	60	120	74	134	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
202	88D7	為	1	120	120	134	134	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
203	88D9	異	1	135	120	149	134	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
204	88E2	遺	1	195	120	209	134	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
205	88E3	医	1	210	120	224	134	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
206	88E6	域	1	240	120	254	134	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
207	88F5	員	1	60	135	74	149	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
208	8942	隠	1	105	135	119	149	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
209	8950	臼	1	165	135	179	149	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
210	8952	嘘	1	180	135	194	149	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
211	895E	運	1	225	135	239	149	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
212	8966	映	1	0	150	14	164	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
213	8973	鋭	1	60	150	74	164	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
214	8974	液	1	75	150	89	164	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
215	897E	円	1	105	150	119	164	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
216	8980	園	1	120	150	134	164	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
217	898C	煙	1	165	150	179	164	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
218	898E	猿	1	180	150	194	164	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
219	8993	遠	1	195	150	209	164	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
220	899E	応	1	225	150	239	164	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
221	899F	押	1	240	150	254	164	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
222	89A1	横	1	0	165	14	179	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
223	89AD	億	1	30	165	44	179	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
224	89AF	憶	1	60	165	74	179	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
225	89B3	乙	1	75	165	89	179	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
226	89B4	俺	1	90	165	104	179	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
227	89BC	仮	1	165	165	179	179	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
228	89BF	価	1	195	165	209	179	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
229	89C5	嫁	1	240	165	254	179	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
230	89C9	暇	1	30	180	44	194	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
231	89CC	歌	1	60	180	74	194	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
232	89D5	苛	1	105	180	119	194	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
233	89D7	荷	1	120	180	134	194	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
234	89D9	菓	1	135	180	149	194	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
235	89DB	課	1	150	180	164	194	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
236	89DF	過	1	165	180	179	194	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
237	89F3	壊	1	30	195	44	209	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
238	89F9	懐	1	90	195	104	209	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
239	89FA	戒	1	105	195	119	209	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
240	8A46	皆	1	165	195	179	209	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
241	8A47	絵	1	180	195	194	209	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
242	8A4A	開	1	195	195	209	209	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
243	8A67	拡	1	45	210	59	224	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
244	8A6D	確	1	90	210	104	224	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
245	8A6F	覚	1	105	210	119	224	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
246	8A72	較	1	135	210	149	224	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
247	8A7C	掛	1	195	210	209	224	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
248	8A84	割	1	210	210	224	224	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
249	8AA9	勧	1	15	225	29	239	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
250	8AAA	巻	1	30	225	44	239	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
251	8AAB	喚	1	45	225	59	239	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
252	8AAD	姦	1	60	225	74	239	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
253	8AB2	幹	1	90	225	104	239	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
254	8AB7	換	1	120	225	134	239	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
255	8AC8	簡	1	195	225	209	239	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
256	8ACF	観	1	225	225	239	239	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
257	8AD1	貫	1	240	225	254	239	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
258	8AD4	間	1	0	240	14	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
259	8AD5	閑	1	15	240	29	254	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
260	8AD6	関	1	30	240	44	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
261	8ADB	丸	1	45	240	59	254	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
262	8AE8	願	1	120	240	134	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
263	8AF1	寄	1	225	240	239	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
264	8AF2	岐	1	240	240	254	254	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
265	8B40	機	2	30	0	44	14	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
266	8B43	気	2	60	0	74	14	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
267	8B47	季	2	90	0	104	14	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
268	8B4B	規	2	105	0	119	14	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
269	8B4C	記	2	120	0	134	14	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
270	8B4D	貴	2	135	0	149	14	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
271	8B55	偽	2	195	0	209	14	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
272	8B56	儀	2	210	0	224	14	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
273	8B5D	犠	2	0	15	14	29	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
274	8B63	議	2	45	15	59	29	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
275	8B69	喫	2	75	15	89	29	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
276	8B6C	詰	2	90	15	104	29	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
277	8B74	逆	2	135	15	149	29	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
278	8B83	泣	2	15	30	29	44	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
279	8B87	窮	2	60	30	74	44	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
280	8B89	級	2	75	30	89	44	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
281	8B92	拠	2	135	30	149	44	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
282	8B93	挙	2	150	30	164	44	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
283	8B96	許	2	165	30	179	44	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
284	8B9B	魚	2	195	30	209	44	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
285	8B9E	京	2	210	30	224	44	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
286	8BA4	共	2	240	30	254	44	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
287	8BA6	協	2	15	45	29	59	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
288	8BB5	況	2	90	45	104	59	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
289	8BBA	脅	2	135	45	149	59	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
290	8BBB	興	2	150	45	164	59	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
291	8BBD	郷	2	165	45	179	59	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
292	8BBE	鏡	2	180	45	194	59	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
293	8BBF	響	2	195	45	209	59	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
294	8BC1	驚	2	210	45	224	59	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
295	8BC6	業	2	225	45	239	59	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
296	8BC8	曲	2	0	60	14	74	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
297	8BC9	極	2	15	60	29	74	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
298	8BCA	玉	2	30	60	44	74	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
299	8BCF	均	2	45	60	59	74	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
300	8BD6	禁	2	60	60	74	74	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
301	8BD9	緊	2	75	60	89	74	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
302	8BE2	銀	2	120	60	134	74	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
303	8BE4	倶	2	135	60	149	74	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
304	8BF2	喰	2	240	60	254	74	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
305	8BF8	串	2	15	75	29	89	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
306	8C45	窪	2	45	75	59	89	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
307	8C4E	君	2	75	75	89	89	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
308	8C50	訓	2	90	75	104	89	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
309	8C52	軍	2	120	75	134	89	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
310	8C59	刑	2	150	75	164	89	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
311	8C63	慶	2	225	75	239	89	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
312	8C65	憩	2	240	75	254	89	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
313	8C66	掲	2	0	90	14	104	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
314	8C67	携	2	15	90	29	104	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
315	8C69	景	2	45	90	59	104	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
316	8C70	継	2	90	90	104	104	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
317	8C79	軽	2	135	90	149	104	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
318	8C82	撃	2	165	90	179	104	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
319	8C8A	穴	2	225	90	239	104	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
320	8C8B	結	2	240	90	254	104	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
321	8C95	剣	2	60	105	74	119	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
322	8C99	嫌	2	90	105	104	119	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
323	8C9B	憲	2	120	105	134	119	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
324	8CA0	権	2	165	105	179	119	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
325	8CA2	犬	2	180	105	194	119	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
326	8CA7	県	2	210	105	224	119	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
327	8CAF	険	2	0	120	14	134	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
328	8CB5	厳	2	60	120	74	134	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
329	8CB8	減	2	75	120	89	134	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
330	8CC2	個	2	135	120	149	134	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
331	8CC5	固	2	180	120	194	134	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
332	8CC9	庫	2	225	120	239	134	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
333	8CDF	午	2	30	135	44	149	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
334	8CE3	後	2	45	135	59	149	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
335	8CEA	語	2	90	135	104	149	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
336	8CEB	誤	2	105	135	119	149	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
337	8CEC	護	2	120	135	134	149	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
338	8D4C	広	2	60	150	74	164	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
339	8D5A	校	2	150	150	164	164	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
340	8D65	稿	2	195	150	209	164	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
341	8D7C	鋼	2	0	165	14	179	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
342	8D80	項	2	30	165	44	179	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
343	8D81	香	2	45	165	59	179	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
344	8D95	黒	2	165	165	179	179	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
345	8D9E	込	2	210	165	224	179	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
346	8DA0	頃	2	225	165	239	179	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
347	8DB6	左	2	75	180	89	194	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
348	8DB8	査	2	105	180	119	194	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
349	8DBD	鎖	2	120	180	134	194	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
350	8DC1	挫	2	150	180	164	194	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
351	8DC7	塞	2	210	180	224	194	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
352	8DCE	歳	2	240	180	254	194	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
353	8DCF	済	2	0	195	14	209	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
354	8DD7	細	2	30	195	44	209	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
355	8DD8	菜	2	45	195	59	209	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
356	8DD9	裁	2	60	195	74	209	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
357	8DDA	載	2	75	195	89	209	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
358	8DDB	際	2	90	195	104	209	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
359	8DDF	罪	2	135	195	149	209	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
360	8DE3	阪	2	150	195	164	209	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
361	8DE9	埼	2	165	195	179	209	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
362	8DF4	策	2	225	195	239	209	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
363	8DFB	冊	2	0	210	14	224	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
364	8E45	殺	2	60	210	74	224	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
365	8E47	雑	2	75	210	89	224	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
366	8E4D	皿	2	105	210	119	224	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
367	8E4E	晒	2	120	210	134	224	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
368	8E59	産	2	210	210	224	224	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
369	8E5E	賛	2	240	210	254	224	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
370	8E61	斬	2	0	225	14	239	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
371	8E64	仕	2	30	225	44	239	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
372	8E69	司	2	60	225	74	239	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
373	8E6F	姉	2	120	225	134	239	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
374	8E85	糸	2	45	240	59	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
375	8E86	紙	2	60	240	74	254	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
376	8E8B	視	2	75	240	89	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
377	8E8C	詞	2	90	240	104	254	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
378	8E8D	詩	2	105	240	119	254	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
379	8E8E	試	2	120	240	134	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
380	8E91	資	2	135	240	149	254	reusable_full_cn	reserved	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
381	8E95	歯	2	150	240	164	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
382	8E99	児	2	195	240	209	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
383	8E9E	時	2	240	240	254	254	reusable_full_cn	used_original_script	A_zero_text_and_code_refs	0	0	Valid only for the current full-Chinese translation snapshot.
